name,national_team,club,POSITION,CLUB NUMBER,NATIONAL TEAM NUMBER,COUNTRY OF BIRTH,DATE OF BIRTH,Matches played,Minutes played,Goals,Saves,Clean sheets,Passing accuracy (%),Top speed (km/h),Distance covered (km),Yellow cards,Red cards,Saves from direct free-kicks,Saves from indirect free-kicks,Saves from penalties,Goals conceded,Claims,High claims,Low claims,Punches made,Penalties scored,Balls recovered,Blocks,Own goals conceded,Penalties conceded,Clearances completed,Attempts conceded on target,Passes completed,Short passes completed,Medium passes completed,Long passes completed,Backward passes completed,Passes completed to left,Passes completed to right,Crossing accuracy (%),Crosses completed,Free-kicks taken,Times in possession,Passes into attacking third,Passes into key play area,Passes into penalty area,Right foot,Left foot,Head,Other,Assists,Clear chances,Penalties missed,Penalties awarded,Corners taken,Offsides,Dribbles,Runs into attacking third,Runs into key play area,Runs into penalty area,Fouls committed,Fouls committed in defensive third,Fouls committed in own half,Fouls suffered
DEAN HENDERSON,England,Crystal Palace,Goalkeeper,,,,12/3/1997 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOE GOMEZ,England,Liverpool,Defender,,,,23/5/1997 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUKE SHAW,England,Man United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS DUNK,England,Brighton,Defender,,,,21/11/1991 (32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEO HERNÁNDEZ,France,Milan,Defender,,,,06/10/1997 (26),3,270,0,,,91.67%,33.6,29.54,0,0,,,,,,,,,0,8,2,0,0,9/11,0,170/185,59/63,109/116,2/6,57/57,11/11,52/62,14.29%,1/7,3,241,7,15,5,0,0,0,0,0,0,0,0,0,0,5,13,8,2,1,0,0,6
DAYOT UPAMECANO,France,Bayern,Defender,,,,27/10/1998 (25),3,270,0,,,93%,32.8,30.16,0,0,,,,,,,,,0,21,0,0,1,9/12,0,196/209,32/32,147/154,17/23,17/18,87/88,41/41,0%,0/0,6,242,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2
WILLIAM SALIBA,France,Arsenal,Defender,,,,24/3/2001 (23),3,270,0,,,96%,32.8,29,0,0,,,,,,,,,0,17,1,0,0,8/11,0,189/196,29/30,148/152,12/14,13/13,44/44,89/90,0%,0/0,6,219,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
JULES KOUNDÉ,France,Barcelona,Defender,,,,12/11/1998 (25),3,270,0,,,88.67%,31.3,31.59,0,0,,,,,,,,,0,18,0,0,0,9/10,0,132/148,46/52,80/87,6/9,23/24,51/57,12/13,0%,0/8,4,224,18,9,3,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,1
MIKE MAIGNAN,France,Milan,Goalkeeper,,,,03/7/1995 (28),3,270,0,9,2,81.67%,23.4,15.9,0,0,0,0,0,1,10,6,4,2,0,0,0,0,0,2/2,10,77/93,6/6,55/55,16/32,0/0,23/23,27/27,0%,0/0,6,105,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N'GOLO KANTÉ,France,Al-Ittihad,Midfielder,,,,29/3/1991 (33),3,241,0,,,90.67%,33.8,29.96,0,0,,,,,,,,,0,13,1,0,0,2/2,0,137/151,35/40,96/102,6/9,33/34,31/34,40/41,0%,0/1,1,182,10,8,4,0,0,0,0,0,0,0,0,0,0,7,8,7,3,4,1,2,1
OUSMANE DEMBÉLÉ,France,Paris,Forward,,,,15/5/1997 (27),3,232,0,,,77.34%,33.9,25.23,1,0,,,,,,,,,0,11,0,0,0,0/1,0,75/96,19/26,50/60,6/10,26/27,36/47,3/6,30.77%,4/13,1,147,5,12,5,0,0,0,0,0,0,0,1,8,1,22,7,6,13,4,3,4,6
ADRIEN RABIOT,France,Juventus,Midfielder,,,,03/4/1995 (29),3,222,0,,,93%,31.9,27.12,1,0,,,,,,,,,0,12,0,0,0,0/0,0,138/147,44/48,88/91,6/8,36/37,30/30,40/42,33.34%,1/3,6,170,18,16,3,0,0,0,0,0,0,0,0,0,0,1,2,1,2,4,0,2,2
ANTOINE GRIEZMANN,France,Atlético de Madrid,,,,,21/3/1991 (33),3,208,0,,,79%,30.9,23.59,0,0,,,,,,,,,0,1,0,0,0,1/1,0,65/80,26/29,33/42,6/9,13/14,21/25,17/18,17.65%,3/17,10,115,7,3,5,0,0,0,0,0,1,0,0,9,0,1,1,1,1,1,1,1,3
KYLIAN MBAPPÉ,France,Paris,Forward,,,,20/12/1998 (25),2,179,1,,,93%,35,16.02,1,0,,,,,,,,,1,1,0,0,0,0/0,0,69/74,24/27,38/40,7/7,15/15,13/14,23/23,60%,3/5,0,109,7,5,7,1,0,0,0,1,1,0,0,2,0,11,4,10,8,0,0,0,4
AURÉLIEN TCHOUAMENI,France,Real Madrid,Midfielder,,,,27/1/2000 (24),2,171,0,,,92.5%,31.3,19.57,0,0,,,,,,,,,0,5,0,0,0,0/0,0,146/156,23/25,105/110,18/21,17/17,33/35,52/52,50%,1/2,5,166,25,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2
MARCUS THURAM,France,Inter,Forward,,,,06/8/1997 (26),2,165,0,,,83%,33.21,18.48,0,0,,,,,,,,,0,6,2,0,0,3/3,0,30/36,16/18,14/17,0/1,12/12,5/6,2/3,0%,0/0,0,65,0,2,3,0,0,0,0,0,0,0,0,0,1,6,3,2,1,3,0,0,3
BRADLEY BARCOLA,France,Paris,Forward,,,,02/9/2002 (21),1,61,0,,,96%,33.9,6.61,0,0,,,,,,,,,0,5,0,0,0,0/0,0,24/25,12/13,11/11,1/1,6/6,2/2,8/9,0%,0/1,0,37,2,4,1,0,0,0,0,0,0,0,0,0,0,6,3,1,4,1,0,0,3
EDUARDO CAMAVINGA,France,Real Madrid,Midfielder,,,,10/11/2002 (21),2,48,0,,,84%,28.6,6.9,0,0,,,,,,,,,0,3,0,0,0,2/2,0,19/23,3/4,15/18,1/1,5/5,7/8,2/3,0%,0/0,0,37,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,1,4
OLIVIER GIROUD,France,Milan,Forward,,,,30/9/1986 (37),3,45,0,,,61.34%,30.1,6.74,0,0,,,,,,,,,0,0,0,0,0,0/0,0,8/13,5/6,3/7,0/0,3/5,4/4,0/2,0%,0/0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RANDAL KOLO MUANI,France,Paris,Forward,,,,05/12/1998 (25),2,23,0,,,28%,32.4,3.96,0,0,,,,,,,,,0,1,0,0,0,0/0,0,5/9,3/6,1/2,1/1,0/0,4/5,0/1,0%,0/0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,1
KINGSLEY COMAN,France,Bayern,Forward,,,,13/6/1996 (28),1,15,0,,,90%,33,2.26,0,0,,,,,,,,,0,0,0,0,0,1/1,0,9/10,2/2,7/8,0/0,6/6,2/2,0/0,0%,0/0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YOUSSOUF FOFANA,France,Monaco,Midfielder,,,,10/1/1999 (25),2,10,0,,,86.5%,27.3,2.8,0,0,,,,,,,,,0,2,0,0,0,1/1,0,12/15,2/3,8/10,2/2,3/3,4/4,3/4,0%,0/0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JONATHAN CLAUSS,France,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARREN ZAÏRE-EMERY,France,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERLAND MENDY,France,Real Madrid,Defender,,,,08/6/1995 (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRAHIMA KONATÉ,France,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJAMIN PAVARD,France,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICE SAMBA,France,Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPHONSE AREOLA,France,West Ham,Goalkeeper,,,,27/2/1993 (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORGI KOCHORASHVILI,Georgia,Levante,Midfielder,,,,29/6/1999 (24),3,270,0,,,93.34%,29,23.92,1,0,,,,,,,,,0,18,2,0,0,4/4,0,139/150,39/42,85/93,15/15,20/20,40/42,37/39,0%,0/0,6,186,9,4,0,0,0,0,0,1,0,0,0,0,0,5,1,0,2,6,1,2,6
GURAM KASHIA,Georgia,Slovan Bratislava,Defender,,,,04/7/1987 (36),3,270,0,,,83.34%,31.9,19.59,1,0,,,,,,,,,0,22,6,0,0,21/29,0,84/97,9/9,69/77,6/11,4/4,21/23,33/34,0%,0/0,6,143,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTAR KAKABADZE,Georgia,Cracovia,Defender,,,,27/6/1995 (29),3,270,0,,,72.34%,31.8,22.39,0,0,,,,,,,,,0,20,1,0,0,6/6,0,70/95,23/32,39/49,8/14,18/18,31/40,1/2,60%,3/5,0,158,8,5,5,0,0,0,0,0,0,0,0,0,0,5,2,1,0,2,0,1,3
GIORGI MAMARDASHVILI,Georgia,Valencia,Goalkeeper,,,,29/9/2000 (23),3,270,0,20,1,45.34%,31.5,9.32,0,0,2,0,0,4,13,10,2,4,0,0,0,0,0,2/3,24,42/93,4/4,20/21,18/68,0/0,8/8,9/9,0%,0/0,12,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LASHA DVALI,Georgia,APOEL,Defender,,,,14/5/1995 (29),3,270,0,,,88%,29,20.2,0,0,,,,,,,,,0,20,8,0,0,12/20,0,85/95,16/18,62/69,7/8,5/5,3/3,46/47,0%,0/0,3,142,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
GEORGES MIKAUTADZE,Georgia,Metz,Forward,,,,31/10/2000 (23),3,268,3,,,83.67%,33,20.56,0,0,,,,,,,,,2,3,0,0,0,0/0,0,46/55,20/23,22/26,4/6,12/13,14/15,14/18,33.34%,1/3,1,93,3,1,1,3,0,0,0,1,0,0,0,0,1,7,5,2,2,1,0,0,7
KHVICHA KVARATSKHELIA,Georgia,Napoli,Forward,,,,12/2/2001 (23),3,253,1,,,93%,32.3,19.09,0,0,,,,,,,,,0,5,0,0,0,1/1,0,56/61,17/19,36/37,3/5,13/13,8/9,21/22,27.28%,3/11,4,113,4,1,7,0,1,0,0,0,0,0,0,6,0,21,20,13,4,2,0,0,10
ANZOR MEKVABISHVILI,Georgia,U Craiova,Midfielder,,,,05/6/2001 (23),3,188,0,,,83.67%,33,22.1,2,0,,,,,,,,,0,9,0,0,0,0/4,0,70/84,18/27,48/49,4/8,17/19,21/23,16/17,0%,0/1,1,107,8,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,1,1
GIORGI CHAKVETADZE,Georgia,Watford,Midfielder,,,,29/8/1999 (24),3,183,0,,,85%,32.8,12.95,0,0,,,,,,,,,0,12,2,0,0,1/1,0,63/72,31/36,28/32,4/4,14/14,25/26,10/13,25%,1/4,0,106,5,2,3,0,0,0,0,0,0,0,0,4,0,5,3,2,2,4,1,2,1
SOLOMON KVERKVELIA,Georgia,Al-Okhdood,Defender,,,,06/2/1992 (32),3,181,0,,,74.34%,28.8,15.91,1,0,,,,,,,,,0,7,1,0,0,7/12,0,51/60,7/9,39/41,5/10,6/6,24/26,6/7,0%,0/0,4,83,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
GIORGI TSITAISHVILI,Georgia,Dinamo Batumi,Midfielder,,,,18/11/2000 (23),3,163,0,,,76.67%,34.5,15.66,0,0,,,,,,,,,0,1,0,0,0,3/3,0,35/41,7/10,27/29,1/2,15/15,4/5,13/14,0%,0/12,1,82,0,1,1,0,0,0,0,0,0,0,0,1,0,7,3,1,1,1,0,1,2
LUKA LOCHOSHVILI,Georgia,Cremonese,Defender,,,,29/5/1998 (26),3,107,0,,,90.67%,29.5,6.46,0,0,,,,,,,,,0,6,0,0,0,7/10,0,19/21,8/8,10/11,1/2,11/11,2/2,2/3,0%,0/4,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1
OTAR KITEISHVILI,Georgia,Sturm Graz,Midfielder,,,,26/3/1996 (28),1,90,0,,,87%,,,0,0,,,,,,,,,0,6,1,0,0,0/0,0,27/31,10/11,15/17,2/3,3/3,4/5,10/10,0%,0/0,2,41,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ZURIKO DAVITASHVILI,Georgia,Bordeaux,Midfielder,,,,15/2/2001 (23),3,87,0,,,98.34%,33.8,10.45,0,0,,,,,,,,,0,1,0,0,0,0/0,0,25/26,9/9,14/15,2/2,10/10,6/7,5/5,0%,0/0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,3
GIORGI GVELESIANI,Georgia,Persepolis,Defender,,,,05/5/1991 (33),2,84,0,,,74%,28.7,1.7,1,0,,,,,,,,,0,4,1,0,0,4/4,0,22/30,9/9,13/17,0/4,3/3,5/7,7/7,0%,0/0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SABA LOBJANIDZE,Georgia,Atlanta United,Midfielder,,,,18/12/1994 (29),1,8,0,,,0%,30,2.05,0,0,,,,,,,,,0,0,0,0,0,2/3,0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0%,0/1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
BUDU ZIVZIVADZE,Georgia,Karlsruhe,Forward,,,,10/3/1994 (30),1,5,0,,,100%,31,1.41,0,0,,,,,,,,,0,0,0,0,0,0/0,0,1/1,1/1,0/0,0/0,0/0,1/1,0/0,0%,0/0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIORGI KVILITAIA,Georgia,APOEL,Forward,,,,01/10/1993 (30),1,2,0,,,67%,28,1.07,0,0,,,,,,,,,0,0,0,0,0,0/0,0,2/3,2/3,0/0,0/0,1/2,1/1,0/0,0%,0/0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SANDRO ALTUNASHVILI,Georgia,Wolfsberg,Midfielder,,,,19/5/1997 (27),1,1,0,,,100%,30.9,1.01,0,0,,,,,,,,,0,0,0,0,0,0/0,0,6/6,2/2,4/4,0/0,2/2,1/1,2/2,0%,0/1,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GABRIEL SIGUA,Georgia,Basel,Midfielder,,,,30/6/2005 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORGI GOCHOLEISHVILI,Georgia,Shakhtar Donetsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUKA GUGESHASHVILI,Georgia,Qarabağ,Goalkeeper,,,,29/4/1999 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEVAN SHENGELIA,Georgia,Panetolikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEMAL TABIDZE,Georgia,Panetolikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIKA KVEKVESKIRI,Georgia,Lech Poznań,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORGI LORIA,Georgia,Dinamo Tbilisi,Goalkeeper,,,,27/1/1986 (38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSHUA KIMMICH,Germany,Bayern,Defender,,,,08/2/1995 (29),3,270,0,,,91.67%,32.21,34.37,0,0,,,,,,,,,0,13,2,0,0,2/3,0,212/231,53/57,146/156,13/18,70/71,81/88,13/13,50%,5/10,3,275,16,27,10,0,0,0,0,1,1,0,0,0,0,1,9,12,0,1,1,1,0
ANTONIO RÜDIGER,Germany,Real Madrid,Defender,,,,03/3/1993 (31),3,270,0,,,94%,33.4,28.79,1,0,,,,,,,,,0,21,0,1,0,11/11,0,251/267,56/57,175/181,20/29,22/22,116/117,36/38,0%,0/2,1,294,32,18,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,3,3
MANUEL NEUER,Germany,Bayern,Goalkeeper,,,,27/3/1986 (38),3,270,0,5,1,91.34%,25.1,16.32,0,0,1,0,0,2,3,1,2,0,0,0,0,0,0,0/0,6,63/71,12/12,42/43,9/16,0/0,20/20,18/18,0%,0/0,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
İLKAY GÜNDOĞAN,Germany,Barcelona,Midfielder,,,,24/10/1990 (33),3,264,1,,,87.34%,31,31.75,0,0,,,,,,,,,0,4,0,0,0,0/0,0,105/120,48/55,51/59,6/6,28/30,28/29,35/36,0%,0/2,1,141,14,9,1,0,1,0,0,1,0,0,1,0,1,2,3,3,0,2,2,2,3
TONI KROOS,Germany,Real Madrid,Midfielder,,,,04/1/1990 (34),3,260,0,,,95.67%,29.9,31.52,0,0,,,,,,,,,0,14,0,0,0,0/1,0,326/341,90/93,211/219,25/29,26/26,63/66,111/114,25%,6/24,12,379,53,36,9,0,0,0,0,0,0,0,0,22,0,0,8,8,0,2,0,1,3
MAXIMILIAN MITTELSTÄDT,Germany,Stuttgart,Defender,,,,18/3/1997 (27),3,241,0,,,94.34%,32.6,28.15,1,0,,,,,,,,,0,11,0,0,0,5/6,0,141/149,47/48,88/92,6/9,43/44,9/9,66/68,23.81%,5/21,2,219,7,13,6,0,0,0,0,1,0,0,0,0,0,2,4,6,3,3,0,1,9
JONATHAN TAH,Germany,Leverkusen,Defender,,,,11/2/1996 (28),3,241,0,,,94.34%,33.9,27.7,2,0,,,,,,,,,0,14,1,0,0,6/8,0,222/232,61/63,159/166,2/3,7/7,81/82,89/89,0%,0/0,5,254,14,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5,0,3,1
JAMAL MUSIALA,Germany,Bayern,Midfielder,,,,26/2/2003 (21),3,222,2,,,94.34%,33.21,24.84,0,0,,,,,,,,,0,8,0,0,0,0/0,0,99/106,50/54,48/51,1/1,38/39,18/20,30/32,0%,0/2,0,155,1,10,7,2,0,0,0,0,0,0,0,0,0,19,9,9,8,3,0,0,5
KAI HAVERTZ,Germany,Arsenal,,,,,11/6/1999 (25),3,211,1,,,83.67%,33.71,25.53,0,0,,,,,,,,,1,3,0,0,0,2/3,0,53/62,23/30,30/32,0/0,26/28,10/13,9/9,0%,0/1,0,97,2,1,2,0,1,0,0,1,0,0,0,0,1,1,1,2,2,5,0,0,1
FLORIAN WIRTZ,Germany,Leverkusen,Midfielder,,,,03/5/2003 (21),3,197,1,,,93.34%,34.3,25.41,0,0,,,,,,,,,0,6,0,0,0,1/1,0,126/135,58/64,67/70,1/1,51/52,27/29,28/30,0%,0/1,0,164,10,14,1,1,0,0,0,0,0,0,0,2,1,5,7,7,4,3,0,1,1
ROBERT ANDRICH,Germany,Leverkusen,Midfielder,,,,22/9/1994 (29),3,182,0,,,92%,31.5,22.76,1,0,,,,,,,,,0,10,1,0,0,3/4,0,131/142,51/53,75/81,5/8,27/27,40/42,35/37,0%,0/0,4,170,19,11,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,1,1
NICLAS FÜLLKRUG,Germany,Dortmund,Forward,,,,09/2/1993 (31),3,73,2,,,100%,32.4,10,0,0,,,,,,,,,0,1,0,0,0,0/2,0,10/10,5/5,5/5,0/0,5/5,2/2,1/1,0%,0/0,0,19,1,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
LEROY SANÉ,Germany,Bayern,Midfielder,,,,11/1/1996 (28),3,73,0,,,86.67%,31.8,9.19,0,0,,,,,,,,,0,2,0,0,0,0/0,0,30/34,14/15,15/18,1/1,8/8,10/11,6/6,100%,1/1,1,55,0,1,3,0,0,0,0,0,0,0,0,0,0,8,3,6,5,0,0,0,1
PASCAL GROSS,Germany,Brighton,Midfielder,,,,15/6/1991 (33),1,45,0,,,97%,24.8,5.89,0,0,,,,,,,,,0,1,0,0,0,0/0,0,66/68,21/21,42/43,3/4,10/10,25/25,21/21,0%,0/1,0,72,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
DAVID RAUM,Germany,Leipzig,Defender,,,,22/4/1998 (26),1,29,0,,,94%,31.1,4.24,0,0,,,,,,,,,0,0,0,0,0,0/0,0,16/17,5/5,10/11,1/1,3/3,0/0,9/9,50%,2/4,0,26,1,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
NICO SCHLOTTERBECK,Germany,Dortmund,Defender,,,,01/12/1999 (24),1,29,0,,,91%,25.1,3.65,0,0,,,,,,,,,0,2,0,0,0,1/2,0,21/23,4/4,17/18,0/1,3/3,6/6,5/5,0%,0/0,3,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
EMRE CAN,Germany,Dortmund,,,,,12/1/1994 (30),2,28,1,,,95.5%,31.8,4.3,0,0,,,,,,,,,0,2,0,0,0,1/1,0,27/28,9/10,13/13,5/5,5/5,6/6,10/11,0%,0/0,1,35,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
MAXIMILIAN BEIER,Germany,Hoffenheim,Forward,,,,17/10/2002 (21),1,25,0,,,43%,33.9,3.61,0,0,,,,,,,,,0,0,0,0,0,0/0,0,3/7,2/4,1/3,0/0,1/2,0/0,2/4,0%,0/0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHRIS FÜHRICH,Germany,Stuttgart,Midfielder,,,,09/1/1998 (26),1,18,0,,,87%,30.1,2.46,0,0,,,,,,,,,0,2,0,0,0,0/0,0,13/15,6/8,7/7,0/0,2/2,2/4,6/6,0%,0/0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,0,0,0
THOMAS MÜLLER,Germany,Bayern,Forward,,,,13/9/1989 (34),1,16,0,,,80%,31.3,2.4,0,0,,,,,,,,,0,0,0,0,0,0/0,0,8/10,3/3,5/7,0/0,3/3,0/0,2/3,0%,0/2,0,12,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DENIZ UNDAV,Germany,Stuttgart,Forward,,,,19/7/1996 (27),1,6,0,,,50%,29,1.33,0,0,,,,,,,,,0,0,0,0,0,0/0,0,1/2,0/0,1/1,0/1,1/1,0/0,0/0,0%,0/0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROBIN KOCH,Germany,Eintracht Frankfurt,Defender,,,,17/7/1996 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALDEMAR ANTON,Germany,Stuttgart,Defender,,,,20/7/1996 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJAMIN HENRICHS,Germany,Leipzig,Defender,,,,23/2/1997 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARC-ANDRÉ TER STEGEN,Germany,Barcelona,Goalkeeper,,,,30/4/1992 (32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVER BAUMANN,Germany,Hoffenheim,Goalkeeper,,,,02/6/1990 (34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINIK SZOBOSZLAI,Hungary,Liverpool,Midfielder,,,,25/10/2000 (23),3,270,0,,,80%,34.5,30.76,1,0,,,,,,,,,0,7,1,0,0,5/6,0,101/127,41/50,44/51,16/26,25/27,35/40,20/26,31.58%,6/19,18,180,7,6,10,0,0,0,0,1,0,0,0,15,0,10,5,3,2,1,1,1,2
ANDRÁS SCHÄFER,Hungary,Union Berlin,Midfielder,,,,13/4/1999 (25),3,270,0,,,90%,32.6,35.9,1,0,,,,,,,,,0,7,1,0,0,4/4,0,122/136,39/40,78/89,5/7,29/29,28/33,31/32,50%,1/2,6,173,7,2,2,0,0,0,0,0,0,0,0,0,0,4,4,2,3,5,0,3,2
WILLI ORBÁN,Hungary,Leipzig,Defender,,,,03/11/1992 (31),3,270,0,,,89.67%,30.4,30.56,1,0,,,,,,,,,0,26,7,0,0,11/13,0,119/134,19/25,86/91,14/18,8/8,51/52,26/31,0%,0/0,3,172,5,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,1,2
PÉTER GULÁCSI,Hungary,Leipzig,Goalkeeper,,,,06/5/1990 (34),3,270,0,9,1,76.67%,24.4,16.11,0,0,0,0,0,5,7,4,3,2,0,0,0,0,0,2/3,14,74/95,6/6,52/55,16/34,1/1,30/30,26/26,0%,0/0,10,106,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLAND SALLAI,Hungary,Freiburg,Forward,,,,22/5/1997 (27),3,267,0,,,86.34%,32.71,31.72,0,0,,,,,,,,,0,1,0,0,0,1/1,0,64/75,23/27,35/41,6/7,15/16,13/16,25/28,28.58%,2/7,0,113,4,6,2,0,0,0,0,1,0,0,0,0,2,8,5,4,2,0,0,0,9
BARNABÁS VARGA,Hungary,Ferencváros,Forward,,,,25/10/1994 (29),3,251,1,,,56.67%,32.6,27.86,1,0,,,,,,,,,0,4,1,0,0,5/5,0,25/45,12/20,12/22,1/3,5/9,8/16,7/10,0%,0/0,0,80,2,0,0,0,0,1,0,0,1,0,0,0,4,1,1,1,0,2,0,0,4
MILOS KERKEZ,Hungary,Bournemouth,Defender,,,,07/11/2003 (20),3,240,0,,,72%,31.6,25.69,0,0,,,,,,,,,0,11,0,0,0,5/6,0,46/64,20/23,24/34,2/7,18/19,5/5,12/16,7.7%,1/13,1,97,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2,1,1,7
BENDEGÚZ BOLLA,Hungary,Servette,Defender,,,,22/11/1999 (24),3,206,0,,,79.34%,34,23.07,1,0,,,,,,,,,0,6,1,0,0,7/8,0,43/54,8/10,33/38,2/6,10/11,19/23,3/3,12.5%,1/8,0,95,3,5,2,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3,0,2,1
